"entry,def"
"耐火板,トンネル火災等の熱から構造物等を防護するパネルの一つである．火災等によるトンネル構造物の損傷を防ぐため，火災時の加熱に対して一定時間耐えうる性能を有する耐火性のある板状のものをいう．"
"大気汚染,生産活動，輸送，厨房，暖房等によって，各種の煙や粉じんおよびガス状物質が大気中に放出されているが，これらの物質が大気中にある値以上の濃度で，ある時間以上存在し，その結果，ある地域の住民のかなり多数の人々に不快感を生じさせたり，健康に悪影響を与えるようになった状態をいう．"
"耐久性,想定される作用のもとで，構造物中の材料の劣化により生じる性能の経時的な低下に対して構造物が有する抵抗性．性能の経時変化を考慮して安全性，使用性，復旧性等の性能を時間の関数として評価するのは現時点では難しく，また必ずしも経済的ではない．そこで，一般には，設計耐用期間中には環境作用による構造物中の各種材料劣化により不具合が生じないことを構造物の要求性能として設定し，この前提が満足されているもとで，安全性，使用性，復旧性等の要求性能に対する照査を行う手法がとられている．"
"耐久性能,トンネルで想定される劣化要因に対して覆工に要求される性能を維持する能力のこと．具体的には覆工構造の不安定化につながる鉄筋の腐食や材料劣化が無いこと，材料劣化の要因となる漏水が無いなどの指標で判定される．"
"対策工,トンネル施工時，供用時の安全性の確保ならびに周辺環境の保全のために用いられる工法をいう．①切羽安定対策，②地下水対策，③地表面沈下・近接構造物への影響対策，④変状対策等に分類される．"
"第三紀泥岩,泥岩のうち第三紀に形成されたものには，スレーキングを起こしやすいものや膨張性を呈するものが多い．トンネルでは，膨張性鉱物の含有や地山強度によっては著しい断面の押出しを生じることがあるので注意を要する．大きな膨張性を生じた第三紀泥岩の施工事例として，北越北線（北越急行(株)）鍋立山トンネルや北陸新幹線飯山トンネルなどがあげられる．"
"対称照明方式,道路トンネルの入口照明方式の一つ．対称照明方式は，灯具の配光が道路の縦断方向（道路軸方向）にほぼ対称であることが特徴であり，道路の横断方向の配光はその位置（取付位置）により，側壁配置型と天井配置型の2種類に分類される．"
"耐震壁,耐震壁とは，地震動などの水平荷重に抵抗する目的として設けられた構造壁である．はり柱構造などの場合，柱部材だけで地震時の水平力を負担しようすると，その部材断面が過大になり不合理な構造となる場合がある．こうした構造では，耐震壁を設けることによって，水平力を分担させることができ，合理的な構造となる．"
"耐震性能,トンネルの要求性能のうち，構造安定性能のひとつで，供用期間中に想定される地震動に対して覆工が必要な性能を維持できる能力のこと．性能指標として，覆工の断面力で照査される．"
"耐震設計,対象とする構造物が，用途や重要度に応じて，所要の耐震性能を確保するように設計すること．従来，トンネルが均一な地盤中にあり，かつ土被りが大きい場合には，地震時においてトンネルに発生する変形が小さく，影響が少ないとして耐震設計に関する検討が省略される場合が少なくなかったが，兵庫県南部地震において開削工法で施工された一部の地下駅部に大きな被害が発生したことから，開削トンネルの地震に対する安全性を確保するために耐震設計が行われる趨勢にある．"
"耐震継手,地震時のトンネルに発生する断面力を低減するため接合部あるいは沈埋函本体に取付けられる継手．軸方向変位と回転を許し，地震エネルギーを継手部で主に吸収する．圧縮力に対しゴムガスケットで引張力に対してPCケーブルで抵抗する機構がよく採用されている．止水はゴムガスケットと二次止水ゴムで対応する．地震応答計算で接合部の変位などを精度良く算定して継手の設計を行う必要がある．下図に沈埋函の事例を示す．"
"大深度施工,大深度地下でのシールドトンネルの施工．都市部の浅層部は既存地下構造物が輻輳してきているため，新設トンネルはより深い地下に構築されることになる．「大深度地下の公共的使用に関する特別措置法」における大深度地下は，「地下40m以深」かつ「支持地盤上面から10m以深」と定義されている．大深度地下の特徴は，高水圧，硬質地盤であることから，1)シールドについては，高水圧による推力増大，テールシールの止水性や，硬質地盤によるカッタービットの摩耗，テールブラシ等各部材の耐久性，2)立坑設備，発進・到達工，長距離施工，3)セグメントについては，高水圧に対するセグメント継手面の止水性等の検討が必要になる．"
"大深度地下,一般に，土地所有者の私的利用の可能性がほとんど考えられないような深さの地下部分を指す．三大都市圏の公共事業の推進を目的として2001年に制定された「大深度地下の公共的使用に関する特別措置法」では，地下40ｍ以深かつ支持地盤上面から10ｍ以深であれば，事前の補償をすることなく，大深度地下使用権の設定が可能となった．本制度は，直径15ｍ以内の単円シールドトンネルが主な対象となっている．しかし，シールドトンネル間の分岐部，合流部等の建設においては，断面選定の自由度，経済性等の要因から山岳トンネルが適用される可能性もある．"
"帯水層,地中の透水層において，地下水によって飽和している地層をいう．透水性の高い地層の帯水層を透水層，透水性の悪い地層の帯水層を難透水層，全く水を通さない地層を不透水層と呼ぶ．トンネル施工において，地下水の状態を把握することは重要で，施工方法に大きな影響を与える要因のひとつと言える．地下水の状態の代表として，被圧地下水，自由地下水などがある．"
"台数制御法,道路トンネル内の換気風量を調整する制御方法の一つである．道路トンネルの換気方式の縦流換気方式等で設置されているジェットファン等の台数によって換気風量を変化させる方法である．"
"堆積岩,水底や地表に堆積した堆積物が，地質時代を通しての物理的・化学的作用により固結形成された岩石をいう．分類は，運搬・堆積の方法，構成している物質の種類と粒径および固結の程度によって分けられる．"
"体積弾性率,物体に圧力が加わり体積が変化するときの，圧力と体積ひずみの関係を表す比例定数．体積弾性率K はヤング率E およびポアソン比ν を用いて以下の式で表される．K =	E3(1−2ν)"
"大断面トンネル,トンネルを仕上り断面の大きさで分類したときの分類の一つである．国内では明確な基準はないが，例えば道路トンネルにおいてはスプリングライン上の内空幅12.5～14.0ｍ程度，内空断面積80～100 m2 程度の断面を大断面として区分している．この場合，一般的に上半で三心円断面を採用することで内空断面積の抑制を図り，安定性確保の観点から内空縦横比は概ね0.57以上として設計されている．また，三車線高速道路では，掘削断面積150～200   m2   程度の断面が標準的に採用されており，山岳トンネルの大断面化が進んでいる．"
"大中口径管推進工法,呼び径800～3000mmを対象とした工法で，その種類は開放型推進工法と密閉型推進工法に分類され，密閉型推進工法はさらに,切羽の安定方法，掘削方法，土砂の搬出方法により，泥水式推進工法，土圧式推進工法，泥濃式推進工法に分類される．また，推進力の伝達方法によって元押工法，中押工法に分類される．"
"ダイナマイト,ニトログリセリンあるいはニトログリコール，またはこれらの混合物にニトロセルロースを配合してこう化させたものをニトロゲルという．わが国では，このニトロゲルを基剤とし，それを６％越えて含有する爆薬をダイナマイトと呼んでいる．１９７０年代ごろまでは，トンネルの火薬消費量のほとんどがダイナマイトであったが，含水爆薬がその安全性の高さから徐々に普及し，近年では火薬消費量のほとんどを占めるようになっている．現在，日本で市販されている主なダイナマイトは３号桐ダイナマイトと２号榎ダイナマイトであり，トンネルでは後ガスが良好な２号榎ダイナマイトが使用されている．ダイナマイトは含水爆薬に比べて爆速が大きいのが特徴といえる．"
"第二次分離装置,泥水の中に混合している土粒子の細かいものは沈殿速度も遅いし，粒径もごく小さいので，機械的，物理的に水から分離することは難しい．そこで，沈降促進剤で造粒して，大きな粒にしたり，強制的に力を加えて脱水したりして分離する装置.次のようなものが多く使われている．(1)	円筒形造粒脱水機：円筒を回転させその内側で造粒，脱水させる．(2)	バケットコンベヤー：造粒させ大きくした土団粒を網ですくい上げ脱水する． (3)真空濾過機：真空状態をつくり水を吸い込ませて脱水する.(4)ベルト加圧脱水機：ローラーやキャタピラーで濾布ベルトを加圧して脱水する. (5)泥水加圧脱水機：濾布の間に加圧した泥水を送り込み脱水する.(6)遠心脱水機：泥水の流速を利用して遠心分離を行い，または強制的に遠心力を働かせて脱水する."
"待避所,鉄道トンネルでは列車運転中にトンネル内で巡回点検および保守作業を行う場合に，作業員が列車を避けたり機械等を置く場所で一般にマンホールという．通常山岳トンネルでは，側壁部に設けることが多いが，新幹線トンネルでは，上下線線路の間に掘り下げて設けられている．道路トンネルでは故障車等が通行の支障にならないように非常駐車帯として拡幅した部分を設けているものがある．また，工事中，作業員や器具類が列車を避けるのに困難な場所に設ける逃げ場で，トンネル内に設けられる．トンネルでは一定の間隔をおいて設けられる．"
"タイヤ方式,ずり運搬にダンプトラック等の自動車を用いる方式をいう．タイヤ方式は，レール工法に比べて仮設備が簡単であり，急勾配でも走行できる利点があり，比較的大きい断面のトンネルや短いトンネルに適している．一方，排気ガス対策のための大きな換気設備が必要となるほか， 路面の維持に留意する必要がある．"
"ダイヤモンドドリル,地質調査用コアボーリングを行うとき用いる穿孔機で，刃先に工業用ダイヤモンドが取り付けられているドリルのことをいう．"
"ダイラタンシー,土のような粒子の集合体がせん断変形を起こすときにみられる体積の増加現象をいう.また，岩石の破壊変形に伴い岩片の間に間隙が生じるために発生する体積増加現象一般を指すこともある."
"大理石,石灰岩が再結晶作用を受けたもの．主に方解石の結晶から構成される緻密な炭酸カルシウムの粒状（糖晶状）集合体で，「結晶質石灰岩」ともいう．均質で大塊が得やすく，美しく加工しやすいため古くから石材に使用されてきた．"
"タイル直張り,道路トンネルの内装板を設置する工法のひとつ．タイルをトンネルの覆工コンクリートに接着剤等を用いて直接貼り付ける工法である．"
"タイロッド,鋼製支保工の建込み後，吹付けコンクリートによって固定されるまでの間，鋼製支保工相互を連結して転倒を防止するなど支保工の安定性を向上させるためのつなぎ材をいう．"
"タイロッド,水平の引張部材として用いる鋼棒．一般に矢板壁の上部に取付け，背面の地盤に定着した控え工，あるいは他の矢板壁とを連結する．護岸や擁壁などの工事に用いるタイロッドには，鋼種別に強度を示した標準仕様が定められている．アンカーロッドともいう．"
"ダウアリング,地山補強土工法の1つで，補強材の機能に基づき，ネイリング，マイクロパイリング，ダウアリングの3種類に区分される．ダウアリングは，細長比が小さく曲げ剛性の大きい補強材を地山に配置して，補強材の引張抵抗の他，曲げ抵抗および圧縮抵抗によって地山の安定を向上させる工法である．代表的な工法として，ラディッシュアンカー工法（直径30～50cm）があり，特に周面摩擦が得られにくい盛土や崩壊性地山で用いられる．"
"ダウンザホールハンマー,圧縮空気によって作動する（空気掘り，エアードリリング）ピストンの打撃作用を直接ビットに伝達させる先端駆動式の削岩機である．硬岩層の掘削に適しており，経済的に掘削できるため，さく井，地すべり工事，基礎杭，海洋土木工事など幅広く用いられている．"
"打音検査,ハンマーで覆工表面を打撃し，反発の程度や打撃音の音質で覆工表面付近のコンクリートの変状の有無を確認する検査．覆工の変状を広範囲にわたって迅速に検査できる利点があるが，変状の有無，程度を正確に判断するためには検査員の十分な経験が必要であり，また，個人の感覚に頼るため，調査結果に検査員の個人差が発生する可能性があり，注意が必要である．"
"抱きコンクリート工法,既設構造物のアンダーピニング工法の一種で，既設構造物の外側両端に仮支持杭を設け，支持杭と既設構造物とをコンクリートで抱き合わせ，PC鋼棒により緊張すること等で一体化し，既設構造物を仮支持する工法をいう．既設構造物の断面形状が大きい場合には，外側両端の支持杭で支持するほか，この支持杭の桁を架け，構造物の中間を吊り鋼棒で吊り下げることもあり，この場合には吊桁工法ともいわれる．"
"抱き擁壁,抱きコンクリートのうち，坑口部等でトンネル上部に盛土を行えるように側壁部を擁壁状に形成したもの．"
"濁音,覆工コンクリートの打音検査時に発する音で，高音の澄んだ音（清音）以外の音のことをいう．濁音は覆工内部の何らかの欠陥の存在により発するものである．"
"濁水処理設備,トンネル工事によって発生する濁水を処理するための設備をいう．トンネル工事において一般に水質汚染源として問題となる成分は，浮遊物質（SS），pH，油分で，濁水処理設備は主としてこれらの処理を行う．浮遊物質の処理は，汚濁水（原水）に凝集剤を添加して各粒子を凝集させることで沈降速度を大きくし，凝集沈殿装置（シックナ等）で凝集反応により形成されたフロックを沈降させることで清水と濁水に分離する方法が代表的である．pHについては，一般にトンネル工事ではコンクリート作業により汚濁水がアルカリ性となるため，中和装置にて炭酸ガスなどによる中和処理が行われる．また，油分については，汚濁水（原水）が流れ込む原水槽および凝集沈殿槽の表面に敷き詰めた吸着マットで油分を吸着させる方法が採用される．"
"ダクタイル鋳鉄管,溶融させた銑鉄にマグネシウムを添加して遠心力鋳造でつくられる鋳鉄管．ダクタイルとは「延性のある」という意味．管内面はモルタルライニングやエキシポ樹脂粉体塗料，その他の塗装が施してある．日本下水道協会規格JSWASでは，Ⅰ類（圧送用）とⅡ類（自然流下用）に分類され，原管の強度及び伸びが異なる．"
"ダクタイル鋳鉄セグメント,球状黒鉛鋳鉄とも呼ばれるダクタイル鋳鉄製のセグメントである．ダクタイル鋳鉄は，強度が高く，製品精度が良好であり，防水性に優れている．鋼製セグメントと同様に，座屈に対する配慮や二次覆工がない場合の防食工の検討が必要である．2本以上の主桁を有する箱型と，4本の主桁を有し外側の箱にコンクリートなどを中詰めするコルゲート型がある．"
"濁度,濁り度ともいい，水の濁りを表す指標である．濁りは水中の粒子の濃度，大きさ，形状などによって変化し，たぶんに感覚的なものであるため，精製水1 l に対し，標準物質であるカオリンやホルマジンを1mg含ませ，均一に分散させた縣濁液の濁りが濁度1度と定義される．この標準液と試料とを比較することで，試料の濁度を決定する．"
"ターゲット契約,設計変更，物価変動による調整後予定価格で契約し，実際費用とこのターゲット金額の差額は発注者，請負者で分担する契約方式．"
"竹割式坑門,突出型坑門の一種で，坑門位置は坑口付け位置より10～20ｍ手前に設置される．明かり巻きによる施工となり，鉄筋構造のため特殊型枠を必要とするが，周辺地形を修景することにより坑門との調和が図られる．"
"蛇行,シールドマシンが所定の位置からずれて掘進している状態．計画線形からのずれを蛇行量という．"
"多サイクル確認試験,アンカーの設計および施工が適切であるか否かを確認するための品質保証試験であり，以下のように分類する．①多サイクル確認試験：実際に使用するアンカーに多サイクル方式で所定の荷重まで載荷（荷重段階は初期荷重から計画最大荷重までの間を5～10段階に分割）し，その荷重‐変位量特性から，アンカーの設計および施工が適切であるか否かを確認する．②1サイクル確認試験：実際に使用するアンカーに１サイクルで所定の荷重まで載荷し，アンカーが設計アンカー力に対して安全であることを確認する．"
"多軸アースオーガー,柱列式地下連続壁の施工方法として，１本のアースオーガーでソイルセメント柱を１本ずつ施工する一軸アースオーガーに対し，３本ないし５本のアースオーガーで同時に複数本のソイルセメント柱を施工する工法である．多軸アースオーガーによる施工は一軸に比べ施工能率，施工精度とも高く，施工面積が広い場合工程面や経済面で優位な施工が可能である． 通常，１本分の柱をラップさせて施工するため連続性が確保され，止水性も向上する．"
"多重支保工,著しい膨張性地山で，トンネル掘削に伴う地山応力解放をある程度許容し，支保全体の健全性を確保するため，一次支保工の内側に最終的な支保工を設置する工法のことをいう．支保工を二次，三次と分割して施工し，それぞれの支保工を適切に施工することで，掘削に伴う変形を管理し，変形余裕内に地山の変位を制御する．一次支保工では変位を管理しつつ，一次支保工の変状は容認して支保工が受ける地圧を軽減させる．二次支保工は一次支保工に内圧を与え，それぞれの支保工が十分に耐力を発揮するように施工時期と仕様を決定し，地圧と支保工反力をつりあわせて，変位が変形余裕内に収まるように施工する．"
"多段導坑,トンネル掘削断面の周囲，すなわち側壁とアーチ部に積み重ねる導坑で，これらをコンクリートで埋め戻して大断面トンネルの不良地質区間の突破等に用いられ，多段サイロットともいわれる．またこれら周辺の導坑を周壁導坑ともいう．"
"多段ベンチカット工法,トンネルの断面を，3段以上に分割して掘削する工法をいう．多段ベンチカット工法は，地下発電所空洞などの縦長の大断面トンネルや，通常，一段ベンチでは上半の断面が大きく切羽の自立が困難な場合，あるいは使用機械・設備では加背高が高くて施工ができない場合などに適用される．トンネル断面が数段に分割され，掘削による応力の再配分が繰り返して行われるため，トンネル周辺の緩みの進行に留意する必要がある．また，不良地山においては閉合時期が遅れると変形が大きくなることがあるので，各ベンチの長さには十分に考慮する必要がある．"
"脱水圧密沈下,一般には粘土，シルト，砂質シルト等からなる軟弱地盤は，含水比が高く，水で飽和されており，これら細粒の土の表面に荷重が加わると長時間にわたって沈下を続ける．このように透水度の低い土の上に築造された構造物の重量などによって，土中の水分が時間的遅れを伴いながら排出されるに従い，土が徐々に圧縮される現象を圧密といい，その結果，地表部に沈下現象が起きるが，これが脱水圧密沈下である．トンネルでは掘削により地山内の水が排出されたり，圧気により地山内の間隙水が脱水されて生じる．"
"立坑,斜坑や横坑に対して用いられる言葉で，鉛直に掘られた坑道をいう．立坑は通路，換気，排水等のための恒久的なものと，トンネル工事中の作業のために仮設される作業坑とがある．作業坑は，トンネルの延長が長く，両坑口よりの掘削が容易でないような場合，切羽を増やして工期を短縮する場合，材料の搬入，ずりの搬出のために近路として設け，作業能率を上げる場合に用いられる．シールドトンネルにおいては，シールド発進のための発進立坑は常に設置され，さらに必要に応じて，中間立坑や到違立坑も設置されている．"
"立坑圧気,シールドの発進・到達の際，立坑内に隔壁を設けて立坑外部の土圧・水圧に対抗するために圧気圧を作用させて鏡切りを行うこと．"
"立坑ガイド,ケージまたはスキップが立坑内を昇降するとき，これを案内するための装置．鉱山用語ではすらせという．"
"立坑掘削機,トンネル，鉱山，炭坑等における立坑の掘削に使用する機械をいう．立坑が0.6～2.5ｍ程度の小口径の場合は，油圧駆動により，ビットを回転させ，推力を与えて岩盤を円形に掘削するドリル方式のものがある．また，作業用立坑などのように大きな立坑では，掘削と覆工を同時に行える立坑開削機を使用する場合がある．これは，立坑内の作業用吊足場となるスカホード，ずりまたはコンクリートを運搬するキブル，ずり積機（グライファ方式，クローラショベル方式，シャフトマッカ方式）からなるものである．"
"立坑送排気式,道路トンネルの換気方式の一つである．"
"立坑バイパス,泥水式推進工法で，送排泥の開始時および停止前にバイパス還流を行い，還流調整や排泥管内の残土を搬出するための発進立坑に設置する装置．"
"建込み,鋼製支保工をトンネル内の所定の位置に設置することを支保工の建込みという．建込み方法としては人力による方法，支保工エレクターを用いる方法等がある．支保工の建込みにあたってはアーチリブを建て込んだ後拱頂継手のボルト締め，つなぎボルト，内ばりの挿入，矢板掛け，くさびの締め上げ等一連の作業を手落ちなく行う．また，仮土留め工においては，鋼矢板の施工を建込みともいう．"
"建込み間隔,鋼製支保工の建込み間隔は地質，トンネル断面，工法等によって異なる．2車線道路トンネルの標準的な鋼製支保工の建込み間隔としては土圧が比較的少ない場合で120～150cm，土圧がある場合100～150cm，土圧が特に大きい場合100cm以下とする場合が多い．労働安全衛生規則第394条では，鋼製支保工の建込み間隔を150cm以下に規定している．"
"縦リブ,鋼製セグメントおよび中子形セグメントにおいてトンネルの縦断方向に配置した部材で，主としてシールドジャッキの推力を支える部材をいう．"
"縦割り式部分掘削工法,開削トンネルにおいて，現場の立地条件，施工環境，地盤条件等の制約により，全断面掘削工法での施工が困難な場合にとられる部分開削工法の１つで，全開削幅員を縦方向に2～3分割し，まず片側半分，もしくは両側の開削をし，その部分の躯体を築造したのち，残りの部分を施工してトンネルを築造する工法をいう．"
"谷部進入型,谷部に坑口付けを行い，トンネルを掘削していく型式である．一般にこのような地形においては，崖錘や崩積土等，未固結層が厚く堆積し，地下水位も比較的高い場合が多い．このため，坑口付けの法面安定度は低く，湧水とともにその対策工は充分検討せねばならない．また，坑口付近の周辺には土石流，なだれなど自然災害を受けやすく問題の多い斜面でもあり，坑口位置の選定にあたっては，これらのことを十分配慮する必要がある．"
"たぬき掘り,壁面に掘られた小さな素掘りの導坑が，まるでたぬきの巣穴のように見えたことから付けられた名前で，地山や斜面に小規模な孔を支保工なしで横掘りすることをいう．"
"多ヒンジ系リング,諸外国において，トンネル周辺地山が良好な場合に用いられている，セグメント継手をヒンジ構造としたモデルである．多ヒンジ系リングは，それ自体では不安定構造であるが，覆工に作用する荷重および地盤反力の影響を受けて，はじめて安定構造となる．したがって，リングに作用する荷重の分布ならびに地盤反力の評価が重要であるとともに，トンネル周辺の地山の広範な反力を期待するので，適用地盤に留意する必要がある．このモデルを用いた計算は，断面力として発生する曲げモーメントが相当に低減し，経済的な設計が可能になる．反面，トンネルの安全性は，覆工と周辺地山との間に作用する力のバランスの善し悪しに支配される．このため，トンネル完成後の近接施工や漏水などによる偏圧状態の発生やトンネルの防水などに対しても十分な検討が必要である．"
"ダブルパッカー,薬液注入工法における二重管ダブルパッカー注入方式において，注入内管の先端に取り付けられた2段のパッカー（注入孔の所望の部分を仕切るための装置）．注入部の構造は，注入外管の注入孔が2段のパッカーの間にくるように注入内管を移動し，さらに注入内管の注入孔も2段のパッカーの間に設けられているため，内管を通じて送られる注入材は注入外管の注入孔からスリーブゴムを押し広げ，シール材を注入圧よって割裂して地盤内に浸透する．"
"だぼ,施工のために利用する坑内の仮設の基準点．坑内測量において，トンネルの中心線や水準線を坑奥に導入する場合や掘削面の位置，寸法，方向およびコンクリート打設用型枠の設置位置の決定と照査を行う場合に用いる．だぼは非常に大切な点なので，岩盤に穴を掘り，木杭を埋め込んでコンクリートで固める等，その保全には万全を期する．また，月に１・２回は，坑内，坑外の基準点の点検が必要である．特に，膨張性地山や土砂地山などだぼの変位が大きいトンネルでは，定期的にチェックを行い，状況に合わせて坑口や立坑より再度坑外基準点を導入し，確認する必要がある．坑内基準点の設置間隔の目途としては，直線部で40～50m，曲線部では20～30mである．"
"玉石,天然に丸みをもって産する石をいい，直径10～30cm 程度である．トンネルの切羽に出現した場合は，掘削の支障となるだけではなく，天端付近にあれば崩落等の危険を伴う．また，数メートルもの硬質な玉石（巨礫）が切羽面に出現した場合，トンネル断面に沿った掘削が困難となり，掘削サイクルの遅延や余掘りなどの原因ともなる．"
"ためます,排水溝によって導かれた水を集まるために設けられたますをいう．坑口付近に設けられたものは，沈砂池，沈殿池の役割も果たし，周辺水域への排水基準を超えぬように汚濁水処理を行うこともある．"
"Darcyの法則,層流状態にある地下水流動に関する法則．飽和した多孔質媒体中の地下水の流量，速度は2点間の水位差に比例し，2点間の距離に反比例することを表している．単位時間当たりの浸透流量q は，見掛けの流速v および浸透断面積A  で以下のように表される．q = vA = kiAここで， k =透水係数， i =動水勾配．"
"単位換気量,道路トンネルの換気施設の規模を設計する際に必要な数値の一つである．換気施設の設計にあたって，トンネル内の所要の環境を維持するため，機械換気の所要換気量を算定する際のトンネル延長1000mあたり交通量1台/hあたりの換気量をいう．"
"単位体積重量,単位体積当たりの重量をいう．重さの度合いを表す指標には，質量もあるが，これは物体そのものが構成する物質の量で地球や宇宙の如何なる空間であっても物質の量が変わらないもので，重量は重力の大きさの量で，質量と重力の積で表わされるもの．単位体積当たりの質量を密度という．"
"単価契約,契約の内容，または性質上，数量を確定することができないため，総価額を決定できない場合に，契約の目的物について，その単位当たりの価格を定め，数量はその給付の実績に基づいて算定することを内容とする契約をいう．"
"弾完全塑性,降伏点以下の応力に対しては線形弾性体として挙動し，降伏後は一定応力の下で塑性ひずみのみが増加する理想化された性質．"
"単管ロッド工法,単管の注入ロッドで所定の深度まで削孔した後，その注入ロッドに中～長時間のゲルタイムの注入材を圧送して注入する注入工法である．通常，小型のボーリングマシンによる単一行程で施工が可能であり，１または1.5ショットで緩結の注入材を用いる．特定の箇所に固まりやすく，硬質な地山を削孔して施工する場合には穴曲がりを発生し易い．"
"ターンキイ契約,プラント建設などで，企画・調査・設計・調達・施工まで，建設業者が一括して請け負う契約のこと．発注者が工事完成時に受け取った鍵（キイ）を回せば（ターン），直ぐに稼動する状態で引き渡すことからこの呼称となった．"
"タンクモデル,菅原（1972）によって開発された河川流出モデル．流域（水収支区）を1つのタンクないしは複数の直列タンク群とみなす．タンクを直列に数段重ねることで，物理的なイメージを伴って流出を再現していくモデル．降雨の変化による地下水位の変動やトンネル湧水量ならびにトンネル掘削の地下水に関する影響などの予測に用いられる．"
"単軸場所打ち杭地下連続壁,アースオーガーを用いて地中を掘削し，掘削が最深部に到達後，オーガーの先端よりベントナイト溶液などの地盤安定剤を圧入し，現地盤と置換しながらオーガーを引き揚げる．掘削した孔に鉄筋を挿入しコンクリートを打ち込むことで単杭を造成する．この単杭を連続的に配置，造成して地下部に土留め壁を形成する．"
"短尺鏡ボルト,ボルト長5ｍ以下の鏡ボルトをいう．切羽鏡部の自立性が確保できない場合にボルトの縫い付け効果や，注入式による地山改良効果を期待する工法．ボルトの材料は掘削時の切断を考慮してグラスファイバー製が使用されることが多い．"
"短尺先受け工,ロックボルト，吹付けコンクリート，鋼製支保工等の通常の支保パターンでは対処できないか，あるいは対処することが得策でない場合に，切羽の安定性・施工の安全性確保ならびに周辺環境の保全のために用いられる補助工法の1つである．一般に，切羽面から上半アーチ外周に5m程度以下の長さのロックボルト，鉄筋，パイプ等を上半120度範囲に低角度(30 度まで)で打設し，セメントミルクやモルタル等を充填する，あるいはウレタン系注入材等の注入材を注入することによって切羽前方地山の崩落等を防止する工法をいう．"
"探針,掘削工事に先立ち，あらかじめ通常の埋設物が予想される深さ２ｍ程度まで，細い鉄棒などを土中に押し込んで埋設物や障害物の有無を確認すること．"
"弾性係数,応力とひずみとの間に一次関係式を置くとき，両者を結ぶ比例定数で，変形のしにくさを表わす物性値をいう．外力による伸び縮みの性質を表わす比例定数で，ヤング係数と表すことがある．E = σ /εここに， E ：ヤング係数σ ：応力ε ：ひずみ"
"弾性限界パラメータ,破壊接近度Rを用いる非線形弾性解析（電中研方式など）において，破壊接近度Rを求めるための弾性限界パラメータで，ゆるみ定数ともよぶ．一般的には，kで表される．非線形弾性モデルではRが1.0以下の場合には非線形領域になるモデルであるが，kの値がこのRに線形的に依存している．kは線形領域と非線形領域の境界を決定するパラメータである．"
"弾性波速度,震源から発生した弾性波（地震波）には，縦波（P波）と横波（S波）の2種の地震動がある．岩盤・地質調査手法として，人工的に起こした弾性波のP波の岩盤および岩片の伝播速度から，岩盤の強度，安定性，亀裂の程度，施工性，地質の良否などを推定している．弾性波速度とは，弾性体（岩盤）の中を伝播する波動速度をいう．弾性波速度は，媒質の密度，弾性定数で異なり，一般に伝播速度が速いと岩盤は堅硬で安定している．"
"弾性波探査,地表または地下の浅いところで火薬類の爆発等により人工地震を起こし，この波動の到達時間をもとに弾性波速度を算出し，地下構造を推定する方法をいう．代表的な調査法には屈折法，反射法等の方法がある．一般的に弾性波速度は良好な地山では大きく，不良な地山では小さな傾向を示すことから，風化層や表土層の層厚，断層破砕帯の位置と規模，岩盤の硬さ，亀裂の程度・風化変質の程度等，岩盤の性状等をある程度予測することができる．トンネルの調査では，P波を用いた屈折法が一般的であり，岩種と弾性波速度をもとにした岩盤分類が提案されており， トンネルの事前の物理探査においては最もよく用いられている地質調査法である．"
"弾性波トモグラフィー,対象とする地盤を取り囲むように起振点や受振点を配置し，弾性波を伝播させて発・受振点間の走時データから地盤の弾性波速度分布を把握する手法．ボーリング孔間やトンネル間，ボーリングまたはトンネルと地表面の間の領域などを対象として実施される．一般トンネルではあまり実施されないが，地下空洞周辺の緩み領域を弾性波速度の変化として把握する場合などに使われることがある．また，詳細な地質調査が必要な場合に実施される．"
"弾性ひずみエネルギー,ある物体に対して外力が仕事をした場合，その物体に蓄えられるエネルギー．弾性体の場合，この仕事は内部にポテンシャルエネルギーとして蓄えられる．これを弾性ひずみエネルギーという．"
"単線トンネル,単線用の鉄道トンネルをいう．断面が大きくなると土圧も大きくなるため，地質によっては複線形断面より単線形断面のトンネル2本を併設した方が有利な場合がある．"
"断層,地殻変動により地殻に発生した断裂で，多少とも面に沿ってすべり変位の認められたものをいう．断層は，地殻に作用する応力の違いによって，成因的に異なる次の３種に区分されている．①正（重力）断層：最大圧縮主応力(P1)の方向が鉛直で，最小圧縮主応力(P3)と中間圧縮主応力(P2)の方向がともに水平方向のとき生じる断層である．それは図(a)に示すように，上盤（断層面の上位の岩盤）が下盤に対して断層面に沿ってずり下がったものである．②逆（衝上）断層：最大圧縮主応力と中間圧縮主応力の方向がともに水平で，最小圧縮主応力が鉛直方向を示すときに生じるもので，この場合は，図(b)に示すように，上盤が下盤に対して断層面に沿ってずり上がったものである．低角度のものを衝上断層という．③水平ずり（横ずれ）断層：最大圧縮主応力と最小圧縮主応力の方向がともに水平で，中間圧縮主応力の方向が鉛直の場合で，図(c)に示すように，鉛直に近い断層に沿って，両側の岩盤が水平方向にずれる．"
